accident,total,clear,cloudy,rain,fog,snow,etc,unkown
acccount,11610,3550,175,319,15,18,1900,5633
death,126,104,10,11,0,1,0,0
injuty,18821,5789,277,534,35,29,3192,8965
acccount,6791,2086,135,142,5,17,1209,3197
death,66,49,13,3,0,1,0,0
injuty,12493,3265,203,241,8,25,2585,6166
acccount,9696,3013,169,265,11,24,1736,4478
death,146,127,7,11,1,0,0,0
injuty,17141,4426,246,401,19,33,3619,8397
acccount,2456,549,35,51,3,5,491,1322
death,67,52,1,13,1,0,0,0
injuty,4598,816,56,122,3,9,1039,2553
acccount,3392,1180,54,66,5,10,564,1513
death,79,68,4,5,1,1,0,0
injuty,5102,1627,77,103,8,15,933,2339
acccount,1604,479,14,45,2,6,259,799
death,37,33,1,3,0,0,0,0
injuty,2608,728,18,73,3,8,450,1328
acccount,865,353,14,29,3,5,100,361
death,17,14,0,3,0,0,0,0
injuty,1269,524,18,39,9,9,145,525
acccount,4029,1254,46,134,0,3,666,1926
death,60,50,4,6,0,0,0,0
injuty,7250,2076,84,226,0,5,1262,3597
acccount,3990,1083,55,103,10,4,636,2099
death,74,60,8,5,1,0,0,0
injuty,6931,1807,63,174,21,6,1173,3687
acccount,3219,1008,20,82,7,7,640,1455
death,42,36,1,5,0,0,0,0
injuty,5268,1505,28,119,17,8,1116,2475
acccount,3803,1298,49,104,8,7,622,1715
death,85,72,4,6,2,0,1,0
injuty,5569,1830,83,151,9,7,957,2532
acccount,17142,3812,191,324,10,22,3574,9209
death,109,97,6,4,2,0,0,0
injuty,30206,6200,284,524,21,39,6807,16331
acccount,3044,933,52,69,6,6,420,1558
death,55,44,4,6,0,1,0,0
injuty,4621,1317,92,108,11,10,695,2388
acccount,1856,668,42,54,1,13,256,822
death,27,19,2,4,1,1,0,0
injuty,2925,1117,78,84,0,28,396,1222
acccount,3240,892,31,83,0,9,518,1707
death,45,39,2,4,0,0,0,0
injuty,4989,1222,42,124,0,14,888,2699
acccount,281,98,3,15,0,1,43,121
death,3,2,1,0,0,0,0,0
injuty,465,196,2,34,0,1,56,176
acccount,33196,7191,234,595,32,25,7913,17206
death,161,138,7,15,0,0,1,0
injuty,50615,10267,372,882,52,31,12769,26242
acccount,332409,74664,2880,7087,138,120,76700,170820
death,1742,1476,106,144,8,3,5,0
injuty,525643,110832,4115,11329,229,250,127735,271153
acccount,4227,888,21,71,0,4,681,2562
death,0,0,0,0,0,0,0,0
injuty,6464,1329,30,124,0,4,1014,3963
acccount,32391,6764,216,636,23,6,7969,16777
death,149,124,9,14,2,0,0,0
injuty,49426,9596,275,990,27,23,12931,25584
acccount,15147,2249,131,203,2,7,874,11681
death,0,0,0,0,0,0,0,0
injuty,22812,3107,174,304,20,12,1587,17608
acccount,1295,46,1,7,0,3,247,991
death,0,0,0,0,0,0,0,0
injuty,1979,76,1,13,0,7,378,1504
acccount,11975,3783,136,326,2,0,2043,5685
death,58,46,3,9,0,0,0,0
injuty,19154,5745,200,543,2,0,3479,9185
acccount,60059,12296,524,1278,14,21,14694,31232
death,189,154,13,22,0,0,0,0
injuty,92867,18492,768,1958,18,72,23779,47780
acccount,9994,2460,160,221,6,3,1999,5145
death,102,86,9,7,0,0,0,0
injuty,16333,3543,215,330,8,10,3619,8608
acccount,22174,5492,157,532,11,2,4796,11184
death,89,72,4,12,0,0,1,0
injuty,35144,8155,233,802,43,4,8164,17743
acccount,1587,605,27,48,5,3,207,692
death,33,29,1,1,1,0,1,0
injuty,2444,886,37,78,5,3,340,1095
acccount,9572,1784,64,190,14,6,2206,5308
death,107,88,7,8,2,1,1,0
injuty,19526,2905,108,417,18,6,4975,11097
acccount,5487,1794,61,148,9,4,999,2472
death,87,74,5,7,0,1,0,0
injuty,8780,2695,102,224,12,5,1741,4001
acccount,31748,7068,206,698,6,9,7287,16474
death,117,98,8,11,0,0,0,0
injuty,49846,10462,298,1154,6,13,11997,25916
acccount,4462,1289,45,119,3,1,904,2101
death,85,73,5,7,0,0,0,0
injuty,7193,1828,64,228,6,3,1633,3431
acccount,11062,3333,104,339,7,0,2256,5023
death,81,68,8,5,0,0,0,0
injuty,18927,5372,137,632,10,0,4178,8598
acccount,2816,878,86,95,0,0,392,1365
death,38,26,10,2,0,0,0,0
injuty,4691,1356,129,173,0,0,693,2340
acccount,3174,862,9,86,2,0,640,1575
death,62,56,1,5,0,0,0,0
injuty,5532,1231,14,186,3,0,1225,2873
acccount,2119,793,36,72,4,3,292,919
death,35,32,0,2,1,0,0,0
injuty,3531,1305,69,140,5,3,544,1465
acccount,2560,907,33,79,3,9,400,1129
death,46,42,1,2,0,1,0,0
injuty,4227,1416,54,113,4,14,713,1913
acccount,4016,1274,49,105,5,7,795,1781
death,60,53,3,3,1,0,0,0
injuty,5805,1691,55,147,5,9,1226,2672
acccount,2568,863,44,77,4,5,397,1178
death,58,52,1,5,0,0,0,0
injuty,3986,1155,56,101,6,7,676,1985
acccount,93976,19236,770,1757,18,27,26622,45546
death,346,303,18,22,1,0,2,0
injuty,146976,28487,1096,2672,31,55,42843,71792
acccount,75779,20388,1642,2479,60,255,20129,30826
death,401,295,37,58,1,3,7,0
injuty,123420,31667,2492,4068,110,509,35838,48736
acccount,58008,14659,1310,1762,34,182,15379,24682
death,233,164,26,33,1,3,6,0
injuty,92845,22483,1970,2742,62,362,26821,38405
acccount,17771,5729,332,717,26,73,4750,6144
death,168,131,11,25,0,0,1,0
injuty,30575,9184,522,1326,48,147,9017,10331
acccount,263792,61253,2991,3140,37,398,115657,80316
death,0,0,0,0,0,0,0,0
injuty,433777,92421,4697,5039,67,849,200489,130215
acccount,263792,61253,2991,3140,37,398,115657,80316
death,0,0,0,0,0,0,0,0
injuty,433777,92421,4697,5039,67,849,200489,130215
