accident,total,clear,cloudy,rain,fog,snow,etc,unkown
acccount,27916,7504,206,523,5,16,6424,13238
death,67,59,3,5,0,0,0,0
injuty,42266,10947,301,795,7,23,10094,20099
acccount,20549,5089,108,349,0,10,4939,10054
death,37,32,3,2,0,0,0,0
injuty,30579,7495,163,536,0,10,7612,14763
acccount,60329,12494,390,1049,7,33,14344,32012
death,132,114,5,13,0,0,0,0
injuty,93129,18395,602,1623,13,44,22852,49600
acccount,49180,11497,215,811,4,27,11425,25201
death,106,89,5,11,1,0,0,0
injuty,74158,17067,323,1271,4,42,17883,37568
acccount,76198,17877,683,1294,7,34,18418,37885
death,108,89,11,7,0,0,1,0
injuty,115399,26242,973,1946,11,52,29249,56926
acccount,21314,4666,67,326,11,16,5228,11000
death,121,105,3,12,1,0,0,0
injuty,33112,6877,104,538,12,24,8482,17075
acccount,317782,58681,1735,3573,164,409,70937,182283
death,616,519,34,47,6,6,4,0
injuty,498070,90717,2672,5491,486,652,115534,282518
acccount,19351,4360,153,288,20,27,4085,10418
death,44,35,4,4,1,0,0,0
injuty,32137,7180,232,411,45,38,7006,17225
acccount,6716,1317,46,70,8,10,1426,3839
death,16,15,0,0,0,0,1,0
injuty,10081,2006,61,107,13,12,2225,5657
acccount,42204,8160,215,493,29,50,10621,22636
death,89,78,5,4,0,1,1,0
injuty,65323,12453,342,745,105,71,17025,34582
acccount,53129,9680,290,597,25,45,11904,30588
death,67,57,2,8,0,0,0,0
injuty,81787,14846,429,930,36,71,19050,46425
acccount,69530,13000,413,745,11,93,15252,40016
death,99,84,6,9,0,0,0,0
injuty,110054,20637,655,1097,20,152,24953,62540
acccount,57134,10094,241,535,24,72,12535,33633
death,114,95,6,6,3,4,0,0
injuty,88186,15203,362,842,185,126,20093,51375
acccount,29790,4826,150,351,29,58,6749,17627
death,62,53,4,5,0,0,0,0
injuty,47509,7549,231,536,55,93,11417,27628
acccount,32873,5929,188,424,10,49,6914,19359
death,58,47,3,6,1,1,0,0
injuty,50460,8818,303,666,11,80,10978,29604
acccount,6098,1137,27,65,5,5,1269,3590
death,47,39,2,4,1,0,1,0
injuty,10764,1740,30,149,8,9,2447,6381
acccount,957,178,12,5,3,0,182,577
death,20,16,2,1,0,0,1,0
injuty,1769,285,27,8,8,0,340,1101
acccount,206402,43209,2004,3481,115,752,40096,116745
death,427,339,35,49,1,2,1,0
injuty,340317,70838,3350,5747,195,1299,69174,189714
acccount,16037,3209,222,266,25,39,3198,9078
death,36,26,3,7,0,0,0,0
injuty,25971,5158,357,422,44,60,5389,14541
acccount,54610,11468,541,917,35,170,10806,30673
death,84,61,10,12,0,0,1,0
injuty,91098,19206,952,1568,62,299,18759,50252
acccount,58163,12506,571,1048,10,222,11181,32625
death,122,93,16,12,0,1,0,0
injuty,95750,20407,932,1734,15,378,19427,52857
acccount,53185,11121,484,979,42,247,10080,30232
death,133,113,4,14,1,1,0,0
injuty,88408,18282,803,1628,70,433,17449,49743
acccount,24407,4905,186,271,3,74,4831,14137
death,52,46,2,4,0,0,0,0
injuty,39090,7785,306,395,4,129,8150,22321
acccount,194343,44121,1764,3541,35,357,39945,104580
death,452,373,43,32,1,3,0,0
injuty,309815,69068,2668,5601,58,553,66770,165097
acccount,26614,7051,284,471,3,44,5255,13506
death,104,88,9,7,0,0,0,0
injuty,42286,10713,401,705,6,85,8879,21497
acccount,30887,7403,303,592,2,51,6345,16191
death,63,50,6,7,0,0,0,0
injuty,48990,11495,509,902,2,73,10683,25326
acccount,64303,14205,491,1192,8,130,13313,34964
death,105,89,6,8,1,1,0,0
injuty,101883,22474,739,1926,11,201,22074,54458
acccount,44711,9750,366,798,14,78,9040,24665
death,90,77,8,4,0,1,0,0
injuty,72662,15755,585,1316,24,126,15178,39678
acccount,27828,5712,320,488,8,54,5992,15254
death,90,69,14,6,0,1,0,0
injuty,43994,8631,434,752,15,68,9956,24138
acccount,133671,28721,1137,2805,11,25,25844,75128
death,373,298,32,42,1,0,0,0
injuty,202548,43572,1719,4336,18,46,41008,111849
acccount,23386,5334,155,488,0,7,4463,12939
death,47,37,4,6,0,0,0,0
injuty,35002,8024,230,726,0,10,6972,19040
acccount,51748,10398,432,1033,3,6,10563,29313
death,93,74,9,10,0,0,0,0
injuty,77180,15697,640,1585,5,8,16395,42850
acccount,13412,3168,134,309,0,0,2252,7549
death,30,25,2,3,0,0,0,0
injuty,18721,4341,194,437,0,0,3351,10398
acccount,21919,4600,163,433,3,8,4193,12519
death,60,49,7,4,0,0,0,0
injuty,33843,7238,250,667,7,24,6775,18882
acccount,23206,5221,253,542,5,4,4373,12808
death,143,113,10,19,1,0,0,0
injuty,37802,8272,405,921,6,4,7515,20679
acccount,19951,3691,248,257,19,34,4361,11341
death,97,79,10,5,1,1,1,0
injuty,32605,5598,375,430,37,58,7534,18573
acccount,19951,3691,248,257,19,34,4361,11341
death,97,79,10,5,1,1,1,0
injuty,32605,5598,375,430,37,58,7534,18573
acccount,1423370,291141,10393,20415,1306,2316,286898,810901
death,3753,3172,225,288,22,22,24,0
injuty,2281195,452786,16403,33579,2610,3814,475883,1296120
acccount,125924,27548,993,2289,125,236,24574,70159
death,202,168,16,17,0,1,0,0
injuty,192138,41066,1428,3518,202,383,39054,106487
acccount,106898,20675,642,1532,53,145,22147,61704
death,187,159,8,16,0,2,2,0
injuty,167120,31759,1053,2427,141,218,35667,95855
acccount,43048,9362,252,575,3,70,9668,23118
death,99,85,5,9,0,0,0,0
injuty,66310,13911,389,929,4,120,15283,35674
acccount,54997,11252,569,896,49,76,11337,30818
death,102,86,6,10,0,0,0,0
injuty,81425,16745,872,1372,73,124,17048,45191
acccount,81210,18350,517,1077,68,78,16668,44452
death,149,121,13,14,0,1,0,0
injuty,121519,26575,739,1611,136,139,26089,66230
acccount,92335,21484,575,1206,71,135,18110,50754
death,204,177,18,8,0,1,0,0
injuty,144283,33219,881,1968,120,220,29540,78335
acccount,68089,16720,570,1176,117,183,13055,36268
death,278,240,16,18,1,1,2,0
injuty,113321,27235,976,2052,228,315,22389,60126
acccount,29221,5945,243,463,21,43,6093,16413
death,51,43,4,4,0,0,0,0
injuty,44336,8786,373,726,39,70,9544,24798
acccount,25838,4324,142,300,12,30,5455,15575
death,37,32,2,3,0,0,0,0
injuty,40152,6456,217,478,17,39,8723,24222
acccount,22715,5218,221,390,25,60,4686,12115
death,94,78,4,8,2,1,1,0
injuty,36308,7915,311,636,40,97,7748,19561
acccount,4546,2630,103,231,47,35,201,1299
death,73,57,3,9,2,0,2,0
injuty,8537,4439,210,455,82,60,398,2893
acccount,89803,14689,624,970,92,152,19550,53726
death,257,215,16,15,7,1,3,0
injuty,145994,23664,964,1632,180,266,32855,86433
acccount,65997,13250,341,837,74,73,13948,37474
death,145,126,7,10,0,2,0,0
injuty,104416,20826,547,1340,149,110,22916,58528
acccount,41039,8642,298,553,23,86,7364,24073
death,158,133,10,9,0,1,5,0
injuty,65034,13102,442,909,43,149,12457,37932
acccount,108015,20467,676,1289,20,152,22380,63031
death,235,201,13,17,1,1,2,0
injuty,170619,31057,1062,2052,60,220,36583,99585
acccount,43365,7769,387,540,30,68,9301,25270
death,129,110,11,5,0,3,0,0
injuty,71951,12106,624,917,53,102,15878,42271
acccount,4045,1162,23,60,4,14,623,2159
death,42,40,1,1,0,0,0,0
injuty,6629,1868,54,119,6,24,1090,3468
acccount,21018,4532,185,347,11,51,4229,11663
death,123,102,12,6,1,2,0,0
injuty,34951,7525,320,614,14,96,7205,19177
acccount,11471,2113,72,220,5,34,2220,6807
death,67,56,2,6,2,0,1,0
injuty,24647,3798,122,426,4,59,5208,15030
acccount,12842,2531,152,202,13,24,2308,7612
death,90,65,11,11,0,1,2,0
injuty,23613,4087,237,357,35,46,4645,14206
acccount,27731,5587,287,546,87,58,5075,16091
death,136,113,9,13,1,0,0,0
injuty,48390,8965,507,912,134,114,9376,28382
acccount,103154,18721,655,1408,144,150,20268,61808
death,224,194,7,18,2,3,0,0
injuty,173777,31286,1087,2473,335,257,35333,103006
acccount,26904,5523,454,449,59,59,4796,15564
death,118,91,10,14,1,0,2,0
injuty,50448,9674,768,912,197,95,9432,29370
acccount,44460,8877,207,497,21,61,9100,25697
death,127,116,4,7,0,0,0,0
injuty,70769,13866,323,804,41,109,14947,40679
acccount,8882,2480,56,133,6,10,1587,4610
death,42,35,5,0,0,1,1,0
injuty,13710,3693,77,226,9,11,2554,7140
acccount,7599,1225,81,119,8,21,1559,4586
death,12,10,0,2,0,0,0,0
injuty,12352,2063,153,181,17,35,2527,7376
acccount,21784,4318,236,317,13,40,4759,12101
death,46,37,4,5,0,0,0,0
injuty,34195,6665,385,487,35,50,7427,19146
acccount,58583,12489,359,827,30,89,11327,33462
death,180,160,2,17,1,0,0,0
injuty,96544,19905,569,1419,51,152,19420,55028
acccount,27043,5090,184,375,51,35,5437,15871
death,49,41,3,4,1,0,0,0
injuty,44726,7773,279,681,130,45,9396,26422
acccount,18154,3090,181,240,14,22,3788,10819
death,30,23,2,4,0,0,1,0
injuty,29034,5014,261,356,16,41,6055,17291
acccount,26660,5078,108,351,10,26,5285,15802
death,67,58,1,8,0,0,0,0
injuty,43947,7743,173,590,19,48,9096,26278
acccount,176406,43974,2361,3905,107,609,31557,93893
death,1076,859,97,89,6,20,5,0
injuty,311296,72515,4159,6985,206,1277,59548,166606
acccount,35991,9665,551,707,16,106,6489,18457
death,127,106,9,11,0,1,0,0
injuty,62163,15561,943,1167,20,183,12180,32109
acccount,46663,12023,545,959,30,161,8990,23955
death,159,137,6,9,3,4,0,0
injuty,79232,19685,1006,1711,46,355,15722,40707
acccount,8840,2350,134,238,1,24,1632,4461
death,41,25,9,5,0,2,0,0
injuty,14280,3640,200,404,1,45,2905,7085
acccount,25641,5426,247,533,5,53,4943,14434
death,104,81,12,11,0,0,0,0
injuty,43970,8719,398,885,8,104,9079,24777
acccount,9434,2496,143,300,0,16,1616,4863
death,40,33,2,5,0,0,0,0
injuty,16617,4093,252,514,0,35,3167,8556
acccount,3823,1062,87,111,1,33,504,2025
death,35,22,6,6,0,1,0,0
injuty,6126,1724,144,183,2,65,821,3187
acccount,5836,1930,111,194,3,27,756,2815
death,56,44,4,4,0,3,1,0
injuty,9581,3276,168,349,9,42,1243,4494
acccount,7141,1711,79,152,13,26,1212,3948
death,71,52,6,10,1,2,0,0
injuty,13521,2713,115,282,27,48,2721,7615
acccount,5339,1032,68,99,9,39,861,3231
death,61,49,6,3,1,2,0,0
injuty,10985,1876,143,252,10,104,1899,6701
acccount,2815,786,68,89,6,15,371,1480
death,43,36,1,5,0,1,0,0
injuty,4673,1343,105,157,41,29,689,2309
acccount,6409,1062,95,129,9,43,1066,4005
death,68,51,13,3,0,0,1,0
injuty,16270,2242,269,289,23,109,2961,10377
acccount,3414,787,71,82,7,19,583,1865
death,42,27,8,7,0,0,0,0
injuty,5847,1343,130,150,10,55,1048,3111
acccount,3012,800,38,52,1,8,416,1697
death,48,41,4,2,0,1,0,0
injuty,4922,1276,63,87,1,11,695,2789
acccount,1537,401,14,31,0,4,208,879
death,29,27,1,1,0,0,0,0
injuty,2596,670,16,82,0,10,345,1473
acccount,1445,373,26,27,1,3,244,771
death,24,17,2,2,0,0,3,0
injuty,2370,625,36,50,1,3,416,1239
acccount,3391,597,27,74,3,15,675,2000
death,50,45,0,1,1,3,0,0
injuty,7221,1103,55,200,3,29,1561,4270
acccount,2373,708,20,55,2,6,346,1236
death,33,27,5,1,0,0,0,0
injuty,4220,1199,35,101,4,12,664,2205
acccount,3302,765,37,73,0,11,645,1771
death,45,39,3,3,0,0,0,0
injuty,6702,1427,81,122,0,38,1432,3602
