area,accident,clear,cloudy,rain,fog,snow,etc,unkown
seoul,death,"1,654",182,200,0,18,12,0
seoul,injuty,"316,210","21,453","30,581",610,"4,292","168,924","835,629"
seoul,acccount,"219,408","14,599","19,971",337,"2,749","114,250","576,803"
busan,death,886,61,122,1,8,3,0
busan,injuty,"127,723","5,701","13,770",122,439,"67,172","244,021"
busan,acccount,"87,284","3,834","8,836",70,291,"44,221","164,252"
daegu,death,776,38,82,3,5,3,0
daegu,injuty,"114,360","4,485","11,725",94,"1,001","57,596","229,387"
daegu,acccount,"78,820","3,008","7,387",64,621,"37,888","155,188"
incheon,death,736,59,78,3,5,1,0
incheon,injuty,"100,906","5,005","8,869",252,"1,937","61,484","274,987"
incheon,acccount,"63,981","3,086","5,379",146,"1,103","37,619","176,817"
gwangju,death,423,45,79,1,13,4,0
gwangju,injuty,"75,821","4,220","7,673",143,"2,005","32,581","164,313"
gwangju,acccount,"46,310","2,602","4,563",78,"1,169","19,044","101,276"
daejeon,death,412,55,65,2,4,0,0
daejeon,injuty,"58,603","3,435","5,620",39,"1,250","37,748","170,664"
daejeon,acccount,"36,959","2,070","3,461",28,714,"22,655","105,174"
ulsan,death,446,34,69,0,5,1,0
ulsan,injuty,"44,478","2,253","5,384",18,332,"20,606","108,995"
ulsan,acccount,"29,578","1,482","3,472",13,197,"13,295","73,135"
seajong,death,48,5,1,1,0,0,0
seajong,injuty,"1,769",106,204,22,49,155,"1,981"
seajong,acccount,"1,026",73,117,17,27,56,"1,188"
gyeonggi,death,"3,826",441,484,46,60,30,0
gyeonggi,injuty,"400,398","23,788","39,977","2,455","8,072","225,604","1,199,091"
gyeonggi,acccount,"251,098","14,446","23,085","1,176","4,805","135,501","741,329"
gangwon,death,976,106,151,8,22,9,0
gangwon,injuty,"75,464","6,387","9,509",297,"2,639","28,933","154,364"
gangwon,acccount,"44,472","3,523","5,120",147,"1,340","15,652","87,079"
chungbuk,death,"1,072",88,143,18,22,3,0
chungbuk,injuty,"76,059","4,245","7,254",322,"1,708","32,045","152,736"
chungbuk,acccount,"46,184","2,516","4,039",173,953,"18,652","91,154"
chungnam,death,"1,680",206,213,35,38,18,0
chungnam,injuty,"79,721","6,142","8,935",726,"2,607","44,968","241,569"
chungnam,acccount,"48,284","3,690","4,927",371,"1,357","23,745","135,075"
jeonbuk,death,"1,413",174,173,13,35,7,0
jeonbuk,injuty,"79,313","6,489","9,208",366,"2,535","31,948","181,348"
jeonbuk,acccount,"49,247","4,006","5,390",223,"1,377","17,880","108,793"
jeonnam,death,"1,697",173,235,18,25,33,0
jeonnam,injuty,"84,318","5,491","10,123",365,"1,830","27,144","135,557"
jeonnam,acccount,"50,436","3,237","5,686",191,938,"15,242","80,152"
kyungbuk,death,"2,247",189,313,13,29,14,0
kyungbuk,injuty,"121,048","7,616","14,793",345,"1,966","49,833","220,158"
kyungbuk,acccount,"78,664","4,754","8,864",201,"1,137","29,940","137,014"
kyungnam,death,"1,852",187,258,13,16,11,0
kyungnam,injuty,"122,498","5,706","13,978",265,692,"58,473","246,057"
kyungnam,acccount,"81,556","3,838","8,757",172,386,"35,967","157,047"
jaeju,death,377,58,53,4,1,5,0
jaeju,injuty,"28,572","2,446","4,125",126,747,"10,843","38,996"
jaeju,acccount,"19,013","1,644","2,570",72,402,"6,533","24,167"
who,death,0,0,0,0,0,0,0
who,injuty,"59,454","3,009","6,059",552,"1,897","222,794","206,528"
who,acccount,"36,476","1,812","3,369",302,991,"134,885","127,362"
